start-date,end-date,holiday-name,keywords
1-Jan-25,,Neujahrstag,Neujahr|stag
6-Jan-25,,Heilige Drei Könige,Heilige Dr|ei Könige
14-Feb-25,,Valentinstag,Valen|tinstag
3-Mar-25,,Rosenmontag,Rosenm|ontag
4-Mar-25,,Faschingsdienstag,Faschingsdi|enstag
5-Mar-25,,Aschermittwoch,Ascherm|ittwoch
8-Mar-25,,Internationaler Frauentag,"Internationaler Fr|auentag, Frauent|ag"
13-Apr-25,,Palmsonntag,Palms|onntag
17-Apr-25,,Gründonnerstag,Gründo|nnerstag
18-Apr-25,,Karfreitag,Karfr|eitag
20-Apr-25,,Ostersonntag,Osters|onntag
21-Apr-25,,Ostermontag,Osterm|ontag
30-Apr-25,,Walpurgisnacht,Walpur|gisnacht
1-May-25,,Maifeiertag,"Maife|iertag, Tag der Ar|beit"
11-May-25,,Muttertag,Mutterta|g
29-May-25,,Christi Himmelfahrt,"Christi H|immelfahrt, Himmelfa|hrt"
29-May-25,,Vatertag,Vaterta|g
1-Jun-25,,Internationaler Kindertag,Internationaler Ki|ndertag
8-Jun-25,,Pfingstsonntag,Pfingsts|onntag
9-Jun-25,,Pfingsmontag,Pfingstm|ontag
19-Jun-25,,Fronleichnam,Fronle|ichnam
15-Aug-25,,Mariä Himmelfahrt,Mariä| Himmelfahrt
20-Sep-25,,Weltkindertag,"Weltki|ndertag, Kinderta|g"
3-Oct-25,,Tag der Deutschen Einheit,Tag der Deu|tschen Einheit
5-Oct-25,,Erntedankfest,Ernted|ankfest
31-Oct-25,,Reformationstag,Reformationst|ag
31-Oct-25,,Halloween,Hallow|een
1-Nov-25,,Allerheiligen,Allerhe|iligen
11-Nov-25,,Martinstag,"Martinsta|g, Sankt Ma|rtinstag"
19-Nov-25,,Buß- und Bettag,Buß- u|nd Bettag
30-Nov-25,,Erster Advent,"Erster Ad|vent, 1. Adv|ent"
6-Dec-25,,Nikolaustag,Nikolau|stag
7-Dec-25,,Zweiter Advent,"Zweiter Ad|vent, 2. Adv|ent"
14-Dec-25,,Dritter Advent,"Dritter Ad|vent, 3. Adv|ent"
21-Dec-25,,Vierter Advent,"Vierter Ad|vent, 4. Adv|ent"
24-Dec-25,,Heiligabend,Heiliga|bend
25-Dec-25,,Erster Weihnachtsfeiertag,"Weihnachte|n, Erster Wei|hnachtsfeiertag"
26-Dec-25,,Zweiter Weihnachtsfeiertag,Zweiter Wei|hnachtsfeiertag
31-Dec-25,,Silvester,Silvester|
