start-date,end-date,holiday-name
1-Jan-26,,Neujahrstag
6-Jan-26,,Heilige Drei Könige
14-Feb-26,,Valentinstag
16-Feb-26,,Rosenmontag
17-Feb-26,,Faschingsdienstag
18-Feb-26,,Aschermittwoch
8-Mar-26,,Internationaler Frauentag
29-Mar-26,,Palmsonntag
2-Apr-26,,Gründonnerstag
3-Apr-26,,Karfreitag
5-Apr-26,,Ostersonntag
6-Apr-26,,Ostermontag
30-Apr-26,,Walpurgisnacht
1-May-26,,Maifeiertag
10-May-26,,Muttertag
14-May-26,,Christi Himmelfahrt
14-May-26,,Vatertag
1-Jun-26,,Internationaler Kindertag
24-May-26,,Pfingstsonntag
25-May-26,,Pfingsmontag
4-Jun-26,,Fronleichnam
15-Aug-26,,Mariä Himmelfahrt
20-Sep-26,,Weltkindertag
3-Oct-26,,Tag der Deutschen Einheit
4-Oct-26,,Erntedankfest
31-Oct-26,,Reformationstag
31-Oct-26,,Halloween
1-Nov-26,,Allerheiligen
11-Nov-26,,Martinstag
18-Nov-26,,Buß- und Bettag
29-Nov-26,,Erster Advent
6-Dec-26,,Nikolaustag
6-Dec-26,,Zweiter Advent
13-Dec-26,,Dritter Advent
20-Dec-26,,Vierter Advent
24-Dec-26,,Heiligabend
25-Dec-26,,Erster Weihnachtsfeiertag
26-Dec-26,,Zweiter Weihnachtsfeiertag
31-Dec-26,,Silvester
