start-date,end-date,translated-holiday-name,translated-keywords
1-Jan-27,,Neujahrstag,Neujahr|stag
6-Jan-27,,Heilige Drei Könige,Heilige Dr|ei Könige
14-Feb-27,,Valentinstag,Valen|tinstag
8-Feb-27,,Rosenmontag,Rosenm|ontag
9-Feb-27,,Faschingsdienstag,Faschingsdi|enstag
10-Feb-27,,Aschermittwoch,Ascherm|ittwoch
8-Mar-27,,Internationaler Frauentag,"Internationaler Fr|auentag, Frauent|ag"
21-Mar-27,,Palmsonntag,Palms|onntag
25-Mar-27,,Gründonnerstag,Gründo|nnerstag
26-Mar-27,,Karfreitag,Karfr|eitag
28-Mar-27,,Ostersonntag,Osters|onntag
29-Mar-27,,Ostermontag,Osterm|ontag
30-Apr-27,,Walpurgisnacht,Walpur|gisnacht
1-May-27,,Maifeiertag,"Maife|iertag, Tag der Ar|beit"
9-May-27,,Muttertag,Mutterta|g
6-May-27,,Christi Himmelfahrt,"Christi H|immelfahrt, Himmelfa|hrt"
6-May-27,,Vatertag,Vaterta|g
1-Jun-27,,Internationaler Kindertag,Internationaler Ki|ndertag
16-May-27,,Pfingstsonntag,Pfingsts|onntag
17-May-27,,Pfingsmontag,Pfingstm|ontag
27-May-27,,Fronleichnam,Fronle|ichnam
15-Aug-27,,Mariä Himmelfahrt,Mariä| Himmelfahrt
20-Sep-27,,Weltkindertag,"Weltki|ndertag, Kinderta|g"
3-Oct-27,,Tag der Deutschen Einheit,Tag der Deu|tschen Einheit
3-Oct-27,,Erntedankfest,Ernted|ankfest
31-Oct-27,,Reformationstag,Reformationst|ag
31-Oct-27,,Halloween,Hallow|een
1-Nov-27,,Allerheiligen,Allerhe|iligen
11-Nov-27,,Martinstag,"Martinsta|g, Sankt Ma|rtinstag"
17-Nov-27,,Buß- und Bettag,Buß- u|nd Bettag
28-Nov-27,,Erster Advent,"Erster Ad|vent, 1. Adv|ent"
6-Dec-27,,Nikolaustag,Nikolau|stag
5-Dec-27,,Zweiter Advent,"Zweiter Ad|vent, 2. Adv|ent"
12-Dec-27,,Dritter Advent,"Dritter Ad|vent, 3. Adv|ent"
19-Dec-27,,Vierter Advent,"Vierter Ad|vent, 4. Adv|ent"
24-Dec-27,,Heiligabend,Heiliga|bend
25-Dec-27,,Erster Weihnachtsfeiertag,"Weihnachte|n, Erster Wei|hnachtsfeiertag"
26-Dec-27,,Zweiter Weihnachtsfeiertag,Zweiter Wei|hnachtsfeiertag
31-Dec-27,,Silvester,Silvester|
