start-date,end-date,holiday-name,keywords
1-Jan-25,,New Year's Day,new year's| day
6-Jan-25,,Epiphany,Epiph|any
14-Feb-25,,Valentine's Day,valent|ine's day
3-Mar-25,,Shrove Monday,shrove m|onday
4-Mar-25,,Fat Tuesday,fat tu|esday
5-Mar-25,,Ash Wednesday,ash wed|nesday
8-Mar-25,,International Women's Day,international wom|en's day
13-Apr-25,,Palm Sunday,palm sund|ay
17-Apr-25,,Maundy Thursday,maundy th|ursday
18-Apr-25,,Good Friday,good fri|day
20-Apr-25,,Easter Sunday,easter| sunday
21-Apr-25,,Easter Monday,easter m|onday
30-Apr-25,,Walpurgis Night,Walpurgis| Night
1-May-25,,May Day,may day|
11-May-25,,Mother's Day,mother's d|ay
29-May-25,,Ascension Day,ascension da|y
29-May-25,,Father's Day,father's d|ay
1-Jun-25,,Children's Day,Children's D|ay
8-Jun-25,,Pentecost Sunday,pentec|ost sunday
9-Jun-25,,Whit Monday,whit mon|day
19-Jun-25,,Corpus Christi,Corpus Chr|isti
15-Aug-25,,Assumption Day,Assumption D|ay
20-Sep-25,,German World Children's Day,German World Chi|ldren's Day
3-Oct-25,,German Unity Day,German Unit|y Day
5-Oct-25,,Harvest Festival,Harvest Fes|tival
31-Oct-25,,Reformation Day,Reformation D|ay
31-Oct-25,,Halloween,hallowe|en
1-Nov-25,,All Saints' Day,All Saint|s' Day
11-Nov-25,,Saint Martin's Day,Saint Mart|in's Day
19-Nov-25,,Repentance and Prayer Day,Repentance and P|rayer Day
30-Nov-25,,First Sunday of Advent,first sunday of a|dvent
6-Dec-25,,St. Nicholas' Day,St. Nichola|s' Day
7-Dec-25,,Second Advent Sunday,Second Advent| Sunday
14-Dec-25,,Third Advent Sunday,Third Advent| Sunday
21-Dec-25,,Fourth Advent Sunday,Fourth Advent| Sunday
24-Dec-25,,Christmas Eve,christmas e|ve
25-Dec-25,,Christmas Day,christmas| day
26-Dec-25,,Boxing Day,boxing da|y
31-Dec-25,,New Year's Eve,new year's eve|
