start-date,end-date,holiday-name
1-Jan-26,,New Year's Day
6-Jan-26,,Epiphany
14-Feb-26,,Valentine's Day
16-Feb-26,,Shrove Monday
17-Feb-26,,Fat Tuesday
18-Feb-26,,Ash Wednesday
8-Mar-26,,International Women's Day
29-Mar-26,,Palm Sunday
2-Apr-26,,Maundy Thursday
3-Apr-26,,Good Friday
5-Apr-26,,Easter Sunday
6-Apr-26,,Easter Monday
30-Apr-26,,Walpurgis Night
1-May-26,,May Day
10-May-26,,Mother's Day
14-May-26,,Ascension Day
14-May-26,,Father's Day
1-Jun-26,,Children's Day
24-May-26,,Pentecost Sunday
25-May-26,,Whit Monday
4-Jun-26,,Corpus Christi
15-Aug-26,,Assumption Day
20-Sep-26,,German World Children's Day
3-Oct-26,,German Unity Day
4-Oct-26,,Harvest Festival
31-Oct-26,,Reformation Day
31-Oct-26,,Halloween
1-Nov-26,,All Saints' Day
11-Nov-26,,Saint Martin's Day
18-Nov-26,,Repentance and Prayer Day
29-Nov-26,,First Sunday of Advent
6-Dec-26,,St. Nicholas' Day
6-Dec-26,,Second Advent Sunday
13-Dec-26,,Third Advent Sunday
20-Dec-26,,Fourth Advent Sunday
24-Dec-26,,Christmas Eve
25-Dec-26,,Christmas Day
26-Dec-26,,Boxing Day
31-Dec-26,,New Year's Eve
