start-date,end-date,holiday-name,translated-keywords
1-Jan-27,,New Year's Day,
6-Jan-27,,Epiphany,
14-Feb-27,,Valentine's Day,
8-Feb-27,,Shrove Monday,
9-Feb-27,,Fat Tuesday,
10-Feb-27,,Ash Wednesday,
8-Mar-27,,International Women's Day,
21-Mar-27,,Palm Sunday,
25-Mar-27,,Maundy Thursday,
26-Mar-27,,Good Friday,
28-Mar-27,,Easter Sunday,
29-Mar-27,,Easter Monday,
30-Apr-27,,Walpurgis Night,
1-May-27,,May Day,
9-May-27,,Mother's Day,
6-May-27,,Ascension Day,
6-May-27,,Father's Day,
1-Jun-27,,Children's Day,
16-May-27,,Pentecost Sunday,
17-May-27,,Whit Monday,
27-May-27,,Corpus Christi,
15-Aug-27,,Assumption Day,
20-Sep-27,,German World Children's Day,
3-Oct-27,,German Unity Day,
3-Oct-27,,Harvest Festival,
31-Oct-27,,Reformation Day,
31-Oct-27,,Halloween,
1-Nov-27,,All Saints' Day,
11-Nov-27,,Saint Martin's Day,
17-Nov-27,,Repentance and Prayer Day,
28-Nov-27,,First Sunday of Advent,
6-Dec-27,,St. Nicholas' Day,
5-Dec-27,,Second Advent Sunday,
12-Dec-27,,Third Advent Sunday,
19-Dec-27,,Fourth Advent Sunday,
24-Dec-27,,Christmas Eve,
25-Dec-27,,Christmas Day,
26-Dec-27,,Boxing Day,
31-Dec-27,,New Year's Eve,
