start-date,end-date,holiday-name,keywords
1-Jan-25,,New Year's Day,new year's| day
2-Feb-25,,Candlemas,Candlem|as
14-Feb-25,,Valentine’s Day,valent|ine's day
4-Mar-25,,Mardi Gras,Mardi G|ras
18-Apr-25,,Good Friday,good fri|day
20-Apr-25,,Easter Sunday,easter| sunday
21-Apr-25,,Easter Monday,easter m|onday
1-May-25,,Labor Day,Labor D|ay
8-May-25,,WWII Victory Day,WWII Vict|ory Day
25-May-25,,Mother's Day,mother's d|ay
29-May-25,,Ascension Day,ascension da|y
8-Jun-25,,Whit Sunday,Whit Sun|day
9-Jun-25,,Whit Monday,whit mon|day
15-Jun-25,,Father's Day,father's d|ay
21-Jun-25,,Music Festival,Music Fest|ival
14-Jul-25,,Bastille Day,Bastille D|ay
15-Aug-25,,Assumption of Mary,Assumption of M|ary
1-Nov-25,,All Saints' Day,All Saint|s' Day
11-Nov-25,,Armistice Day,armistice d|ay
6-Dec-25,,Saint Nicholas Day,Saint Nich|olas Day
24-Dec-25,,Christmas Eve,christmas e|ve
25-Dec-25,,Christmas Day,christmas| day
26-Dec-25,,St Stephen's Day,St Steph|en's Day
31-Dec-25,,New Year's Eve,new year's eve|
