start-date,end-date,holiday-name
1-Jan-26,,New Year's Day
2-Feb-26,,Candlemas
14-Feb-26,,Valentine’s Day
17-Feb-26,,Mardi Gras
3-Apr-26,,Good Friday
5-Apr-26,,Easter Sunday
6-Apr-26,,Easter Monday
1-May-26,,Labor Day
8-May-26,,WWII Victory Day
14-May-26,,Ascension Day
24-May-26,,Whit Sunday
25-May-26,,Whit Monday
31-May-26,,Mother's Day
21-Jun-26,,Father's Day
21-Jun-26,,Music Festival
14-Jul-26,,Bastille Day
15-Aug-26,,Assumption of Mary
1-Nov-26,,All Saints' Day
11-Nov-26,,Armistice Day
6-Dec-26,,Saint Nicholas Day
24-Dec-26,,Christmas Eve
25-Dec-26,,Christmas Day
26-Dec-26,,St Stephen's Day
31-Dec-26,,New Year's Eve
