start-date,end-date,holiday-name,translated-keywords
1-Jan-27,,New Year's Day,
2-Feb-27,,Candlemas,
14-Feb-27,,Valentine’s Day,
9-Feb-27,,Mardi Gras,
26-Mar-27,,Good Friday,
28-Mar-27,,Easter Sunday,
29-Mar-27,,Easter Monday,
1-May-27,,Labor Day,
8-May-27,,WWII Victory Day,
6-May-27,,Ascension Day,
16-May-27,,Whit Sunday,
17-May-27,,Whit Monday,
30-May-27,,Mother's Day,
20-Jun-27,,Father's Day,
21-Jun-27,,Music Festival,
14-Jul-27,,Bastille Day,
15-Aug-27,,Assumption of Mary,
1-Nov-27,,All Saints' Day,
11-Nov-27,,Armistice Day,
6-Dec-27,,Saint Nicholas Day,
24-Dec-27,,Christmas Eve,
25-Dec-27,,Christmas Day,
26-Dec-27,,St Stephen's Day,
31-Dec-27,,New Year's Eve,
