start-date,end-date,holiday-name,keywords
1-Jan-25,,Jour de l'An,Jour de l'An|
2-Feb-25,,Chandeleur,Chandele|ur
14-Feb-25,,Saint-Valentin,Saint-Val|entin
4-Mar-25,,Mardi Gras,Mardi G|ras
18-Apr-25,,Vendredi Saint,Vendredi Sai|nt
20-Apr-25,,Dimanche de Pâques,"Dimanche de Pâ|ques, paque|s"
21-Apr-25,,Lundi de Pâques,Lundi de Pâ|ques
1-May-25,,Fête du Travail,Fête du Tra|vail
8-May-25,,Fête de la Victoire 1945,"Fête de la Vic|toire 1945, victoire 194|5"
25-May-25,,Fête des Mères,"Fête des Mè|res, mamans|, jour des mè|res"
29-May-25,,Ascension,Ascen|sion
8-Jun-25,,Dimanche de Pentecôte,Dimanche de Pe|ntecôte
9-Jun-25,,Lundi de Pentecôte,Lundi de Pe|ntecôte
15-Jun-25,,Fête des Pères,"Fête des Pè|res, jour des pè|res"
21-Jun-25,,Fête de la Musique,Fête de la Mu|sique
14-Jul-25,,Fête nationale,"Fête nat|ionale, basti|lle"
15-Aug-25,,Assomption de Marie,Assomption de M|arie
1-Nov-25,,Toussaint,Toussa|int
11-Nov-25,,Armistice 1918,Armistice 1|918
6-Dec-25,,Saint-Nicolas,Saint-Nic|olas
24-Dec-25,,Réveillon de Noël,Réveillon de No|ël
25-Dec-25,,Noël,Noël|
26-Dec-25,,Saint-Étienne,Saint-Éti|enne
31-Dec-25,,Réveillon du Nouvel An,Réveillon du Nouvel An|
