start-date,end-date,holiday-name
1-Jan-26,,Jour de l'An
2-Feb-26,,Chandeleur
14-Feb-26,,Saint-Valentin
17-Feb-26,,Mardi Gras
3-Apr-26,,Vendredi Saint
5-Apr-26,,Dimanche de Pâques
6-Apr-26,,Lundi de Pâques
1-May-26,,Fête du Travail
8-May-26,,Fête de la Victoire 1945
14-May-26,,Ascension
24-May-26,,Dimanche de Pentecôte
25-May-26,,Lundi de Pentecôte
31-May-26,,Fête des Mères
21-Jun-26,,Fête des Pères
21-Jun-26,,Fête de la Musique
14-Jul-26,,Fête nationale
15-Aug-26,,Assomption de Marie
1-Nov-26,,Toussaint
11-Nov-26,,Armistice 1918
6-Dec-26,,Saint-Nicolas
24-Dec-26,,Réveillon de Noël
25-Dec-26,,Noël
26-Dec-26,,Saint-Étienne
31-Dec-26,,Réveillon du Nouvel An
