start-date,end-date,translated-holiday-name,translated-keywords
1-Jan-27,,Jour de l'An,Jour de l'An|
2-Feb-27,,Chandeleur,Chandele|ur
14-Feb-27,,Saint-Valentin,Saint-Val|entin
9-Feb-27,,Mardi Gras,Mardi G|ras
26-Mar-27,,Vendredi Saint,Vendredi Sai|nt
28-Mar-27,,Dimanche de Pâques,"Dimanche de Pâ|ques, paque|s"
29-Mar-27,,Lundi de Pâques,Lundi de Pâ|ques
1-May-27,,Fête du Travail,Fête du Tra|vail
8-May-27,,Fête de la Victoire 1945,"Fête de la Vic|toire 1945, victoire 194|5"
6-May-27,,Ascension,Ascen|sion
16-May-27,,Dimanche de Pentecôte,Dimanche de Pe|ntecôte
17-May-27,,Lundi de Pentecôte,Lundi de Pe|ntecôte
30-May-27,,Fête des Mères,"Fête des Mè|res, mamans|, jour des mè|res"
20-Jun-27,,Fête des Pères,"Fête des Pè|res, jour des pè|res"
21-Jun-27,,Fête de la Musique,Fête de la Mu|sique
14-Jul-27,,Fête nationale,"Fête nat|ionale, basti|lle"
15-Aug-27,,Assomption de Marie,Assomption de M|arie
1-Nov-27,,Toussaint,Toussa|int
11-Nov-27,,Armistice 1918,Armistice 1|918
6-Dec-27,,Saint-Nicolas,Saint-Nic|olas
24-Dec-27,,Réveillon de Noël,Réveillon de No|ël
25-Dec-27,,Noël,Noël|
26-Dec-27,,Saint-Étienne,Saint-Éti|enne
31-Dec-27,,Réveillon du Nouvel An,Réveillon du Nouvel An|
