date,date-end,holiday-name,keywords
1-Jan-25,,New Year's Day,new year's| day
25-Jan-25,,Burns Night,burns n|ight
29-Jan-25,,Lunar New Year,"lunar ne|w year, chinese new| year, spring fe|stival"
14-Feb-25,,Valentine's Day,valent|ine's day
1-Mar-25,,St. David's Day,"st. dav|id's day, st. dav|id day"
4-Mar-25,,Shrove Tuesday,"shrove tu|esday, pancake da|y"
5-Mar-25,,Ash Wednesday,ash wed|nesday
17-Mar-25,,St Patrick's Day,"st pat|rick's day, st. pat|rick day"
30-Mar-25,,Mother's Day,mother's d|ay
13-Apr-25,,Palm Sunday,palm sund|ay
1-Apr-25,,April Fool's Day,april fool's d|ay
13-Apr-25,20-Apr-25,Passover,passo|ver
18-Apr-25,,Good Friday,good frid|ay
20-Apr-25,,Easter Sunday,easter| sunday
21-Apr-25,,Easter Monday,easter m|onday
23-Apr-25,,St. George's Day,"st. geor|ge's day, st. geor|ge day"
5-May-25,,Early May Bank Holiday,early may b|ank holiday
26-May-25,,Spring Bank Holiday,spring ban|k holiday
29-May-25,,Ascension Day,ascension da|y
8-Jun-25,,Pentecost,"pentec|ost, whit sun|day"
9-Jun-25,,Whit Monday,whit mon|day
14-Jun-25,,King's Birthday,king's birthd|ay
15-Jun-25,,Father's Day,father's d|ay
12-Jul-25,,Battle of the Boyne,battle of the b|oyne
25-Aug-25,,Summer Bank Holiday,summer ban|k holiday
22-Sep-25,24-Sep-25,Rosh Hashanah,rosh ha|shanah
1-Oct-25,2-Oct-25,Yom Kippur,yom k|ippur
7-Oct-25,13-Oct-25,Sukkot,sukk|ot
8-Nov-25,,Diwali,diwa|li
31-Oct-25,,Halloween,hallowe|en
5-Nov-25,,Guy Fawkes Day,guy fawkes d|ay
9-Nov-25,,Remembrance Sunday,remembrance sun|day
11-Nov-25,,Armistice Day,armistice d|ay
29-Nov-25,,First Sunday of Advent,first sunday of a|dvent
30-Nov-25,,St Andrew's Day,st andr|ew's day
14-Dec-25,22-Dec-25,Hanukkah,hanuk|kah
24-Dec-25,,Christmas Eve,christmas e|ve
25-Dec-25,,Christmas Day,christmas| day
26-Dec-25,,Boxing Day,boxing da|y
31-Dec-25,,New Year's Eve,new year's eve|
