start-date,end-date,holiday-name
1-Jan-26,,New Year's Day
25-Jan-26,,Burns Night
17-Feb-26,,Lunar New Year
14-Feb-26,,Valentine's Day
1-Mar-26,,St. David's Day
17-Feb-26,,Shrove Tuesday
18-Feb-26,,Ash Wednesday
17-Mar-26,,St Patrick's Day
15-Mar-26,,Mother's Day
29-Mar-26,,Palm Sunday
1-Apr-26,,April Fool's Day
1-Apr-26,9-Apr-26,Passover
3-Apr-26,,Good Friday
5-Apr-26,,Easter Sunday
6-Apr-26,,Easter Monday
23-Apr-26,,St. George's Day
4-May-26,,Early May Bank Holiday
25-May-26,,Spring Bank Holiday
14-May-26,,Ascension Day
24-May-26,,Pentecost
25-May-26,,Whit Monday
20-Jun-26,,King's Birthday
21-Jun-26,,Father's Day
12-Jul-26,,Battle of the Boyne
31-Aug-26,,Summer Bank Holiday
11-Sep-26,13-Sep-26,Rosh Hashanah
20-Sep-26,21-Sep-26,Yom Kippur
25-Sep-26,2-Oct-26,Sukkot
8-Nov-26,,Diwali
31-Oct-26,,Halloween
5-Nov-26,,Guy Fawkes Day
8-Nov-26,,Remembrance Sunday
11-Nov-26,,Armistice Day
29-Nov-26,,First Sunday of Advent
30-Nov-26,,St Andrew's Day
4-Dec-26,12-Dec-26,Hanukkah
24-Dec-26,,Christmas Eve
25-Dec-26,,Christmas Day
26-Dec-26,,Boxing Day
31-Dec-26,,New Year's Eve
