start-date,end-date,holiday-name,keywords
1-Jan-27,,New Year's Day,new year's| day
25-Jan-27,,Burns Night,burns n|ight
6-Feb-27,,Lunar New Year,"lunar ne|w year, chinese new| year, spring fe|stival"
14-Feb-27,,Valentine's Day,valent|ine's day
1-Mar-27,,St. David's Day,"st. dav|id's day, st. dav|id day"
9-Feb-27,,Shrove Tuesday,"shrove tu|esday, pancake da|y"
18-Feb-27,,Ash Wednesday,ash wed|nesday
17-Mar-27,,St Patrick's Day,"st pat|rick's day, st. pat|rick day"
7-Mar-27,,Mother's Day,mother's d|ay
21-Mar-27,,Palm Sunday,palm sund|ay
1-Apr-27,,April Fool's Day,april fool's d|ay
21-Apr-27,29-Apr-27,Passover,passo|ver
26-Mar-27,,Good Friday,good fri|day
28-Mar-27,,Easter Sunday,easter| sunday
29-Mar-27,,Easter Monday,easter m|onday
23-Apr-27,,St. George's Day,"st. geor|ge's day, st. geor|ge day"
3-May-27,,Early May Bank Holiday,early may b|ank holiday
31-May-27,,Spring Bank Holiday,spring ban|k holiday
6-May-27,,Ascension Day,ascension da|y
16-May-27,,Pentecost,"pentec|ost, whit sun|day"
17-May-27,,Whit Monday,whit mon|day
12-Jun-27,,King's Birthday,king's birthd|ay
20-Jun-27,,Father's Day,father's d|ay
12-Jul-27,,Battle of the Boyne,battle of the b|oyne
30-Aug-27,,Summer Bank Holiday,summer ban|k holiday
1-Oct-27,3-Oct-27,Rosh Hashanah,rosh ha|shanah
10-Oct-27,11-Oct-27,Yom Kippur,yom k|ippur
15-Oct-27,24-Oct-27,Sukkot,sukk|ot
29-Oct-27,,Diwali,diwa|li
31-Oct-27,,Halloween,hallowe|en
5-Nov-27,,Guy Fawkes Day,guy fawkes d|ay
14-Nov-27,,Remembrance Sunday,remembrance sun|day
11-Nov-27,,Armistice Day,armistice d|ay
28-Nov-27,,First Sunday of Advent,first sunday of a|dvent
30-Nov-27,,St Andrew's Day,st andr|ew's day
24-Dec-27,1-Jan-28,Hanukkah,hanuk|kah
24-Dec-27,,Christmas Eve,christmas e|ve
25-Dec-27,,Christmas Day,christmas| day
26-Dec-27,,Boxing Day,boxing da|y
31-Dec-27,,New Year's Eve,new year's eve|
