date,end-date,holiday-name,keywords
1-Jan-25,,New Year's Day,new year's| day
6-Jan-25,,Epiphany,Epiph|any
5-Mar-25,,Ash Wednesday,ash wed|nesday
19-Mar-25,,Father's Day,father's d|ay
13-Apr-25,,Palm Sunday,palm sund|ay
17-Apr-25,,Maundy Thursday,maundy th|ursday
18-Apr-25,,Good Friday,good fri|day
20-Apr-25,,Easter Sunday,easter| sunday
21-Apr-25,,Easter Monday,easter m|onday
25-Apr-25,,Liberation Day,Liberation D|ay
25-Apr-25,,The Feast of St Mark,The Feast of St M|ark
1-May-25,,Labor Day / May Day,"Labor D|ay, May D|ay"
11-May-25,,Mother's Day,Mother's D|ay
2-Jun-25,,Republic Day,Republic D|ay
24-Jun-25,,The Feast of St. John,The Feast of St. J|ohn
29-Jun-25,,The Feast of St. Peter and St. Paul,The Feast of St. P|eter and St. Paul
15-Aug-25,,Assumption of Mary,Assumption of M|ary
15-Aug-25,,Ferragosto,Ferrag|osto
19-Sep-25,,The Feast of Saint Januarius,The Feast of Saint J|anuarius
1-Nov-25,,All Saints' Day,All Saint|s' Day
7-Dec-25,,The Feast of St. Ambrose,The Feast of St. A|mbrose
8-Dec-25,,Feast of the Immaculate Conception,Feast of the Imm|aculate Conception
25-Dec-25,,Christmas Day,christmas| day
26-Dec-25,,St. Stephen's Day,St Steph|en's Day
31-Dec-25,,New Year's Eve,new year's eve|
