date,end-date,holiday-name
1-Jan-26,,New Year's Day
6-Jan-26,,Epiphany
18-Feb-26,,Ash Wednesday
19-Mar-26,,Father's Day
29-Mar-26,,Palm Sunday
2-Apr-26,,Maundy Thursday
3-Apr-26,,Good Friday
5-Apr-26,,Easter Sunday
6-Apr-26,,Easter Monday
25-Apr-26,,Liberation Day
25-Apr-26,,The Feast of St Mark
1-May-26,,Labor Day / May Day
10-May-26,,Mother's Day
2-Jun-26,,Republic Day
24-Jun-26,,The Feast of St. John
29-Jun-26,,The Feast of St. Peter and St. Paul
15-Aug-26,,Assumption of Mary
15-Aug-26,,Ferragosto
19-Sep-26,,The Feast of Saint Januarius
1-Nov-26,,All Saints' Day
7-Dec-26,,The Feast of St. Ambrose
8-Dec-26,,Feast of the Immaculate Conception
25-Dec-26,,Christmas Day
26-Dec-26,,St. Stephen's Day
31-Dec-26,,New Year's Eve
