date,end-date,holiday-name,translated-keywords
1-Jan-27,,New Year's Day,
6-Jan-27,,Epiphany,
10-Feb-27,,Ash Wednesday,
19-Mar-27,,Father's Day,
21-Mar-27,,Palm Sunday,
25-Mar-27,,Maundy Thursday,
26-Mar-27,,Good Friday,
28-Mar-27,,Easter Sunday,
29-Mar-27,,Easter Monday,
25-Apr-27,,Liberation Day,
25-Apr-27,,The Feast of St Mark,
1-May-27,,Labor Day / May Day,
9-May-27,,Mother's Day,
2-Jun-27,,Republic Day,
24-Jun-27,,The Feast of St. John,
29-Jun-27,,The Feast of St. Peter and St. Paul,
15-Aug-27,,Assumption of Mary,
15-Aug-27,,Ferragosto,
19-Sep-27,,The Feast of Saint Januarius,
1-Nov-27,,All Saints' Day,
7-Dec-27,,The Feast of St. Ambrose,
8-Dec-27,,Feast of the Immaculate Conception,
25-Dec-27,,Christmas Day,
26-Dec-27,,St. Stephen's Day,
31-Dec-27,,New Year's Eve,
