date,end-date,holiday-name,keywords
1-Jan-25,,Capodanno,Capodanno|
6-Jan-25,,Epifania del Signore,"Epiph|any, Epif|ania, Befa|na"
5-Mar-25,,Mercoledì delle Ceneri,Mercoledì delle Ce|neri
19-Mar-25,,Festa del papà,Festa del pa|pà
13-Apr-25,,Domenica delle Palme,Domenica delle Pal|me
17-Apr-25,,Giovedì Santo,Giovedì San|to
18-Apr-25,,Venerdì Santo,Venerdì San|to
20-Apr-25,,Domenica di Pasqua,Domenica di Pas|qua
21-Apr-25,,Lunedì di Pasqua,Lunedì di Pas|qua
25-Apr-25,,Giorno della Liberazione,Giorno della Lib|erazione
25-Apr-25,,Festa di San Marco,Festa di San Ma|rco
1-May-25,,Festa del Lavoro,"Festa del Lav|oro, Primo Maggio|"
11-May-25,,Festa della mamma,Festa della ma|mma
2-Jun-25,,Festa della Repubblica,Festa della Rep|ubblica
24-Jun-25,,Festa di San Giovanni,Festa di San Gi|ovanni
29-Jun-25,,Festa di San Pietro e San Paolo,Festa di San Pie|tro e San Paolo
15-Aug-25,,Assunzione di Maria,Assunzione di M|aria
15-Aug-25,,Ferragosto,Ferrago|sto
19-Sep-25,,Festa di San Gennaro,Festa di San Gen|naro
1-Nov-25,,Ognissanti,Ogniss|anti
7-Dec-25,,Festa di Sant'Ambrogio,Festa di Sant'Am|brogio
8-Dec-25,,Festa dell'Immacolata Concezione,Festa dell'Im|macolata Concezione
25-Dec-25,,Giorno di Natale,"Giorno di Nat|ale, Natale|"
26-Dec-25,,Giorno di Santo Stefano,"Giorno di Santo Ste|fano, Festa di Santo Ste|fano, Santo Ste|fano"
31-Dec-25,,Vigilia di Capodanno,Vigilia di Capodanno|
