date,end-date,holiday-name
1-Jan-26,,Capodanno
6-Jan-26,,Epifania del Signore
18-Feb-26,,Mercoledì delle Ceneri
19-Mar-26,,Festa del papà
29-Mar-26,,Domenica delle Palme
2-Apr-26,,Giovedì Santo
3-Apr-26,,Venerdì Santo
5-Apr-26,,Domenica di Pasqua
6-Apr-26,,Lunedì di Pasqua
25-Apr-26,,Giorno della Liberazione
25-Apr-26,,Festa di San Marco
1-May-26,,Festa del Lavoro
10-May-26,,Festa della mamma
2-Jun-26,,Festa della Repubblica
24-Jun-26,,Festa di San Giovanni
29-Jun-26,,Festa di San Pietro e San Paolo
15-Aug-26,,Assunzione di Maria
15-Aug-26,,Ferragosto
19-Sep-26,,Festa di San Gennaro
1-Nov-26,,Ognissanti
7-Dec-26,,Festa di Sant'Ambrogio
8-Dec-26,,Festa dell'Immacolata Concezione
25-Dec-26,,Giorno di Natale
26-Dec-26,,Giorno di Santo Stefano
31-Dec-26,,Vigilia di Capodanno
