date,end-date,translated-holiday-name,translated-keywords
1-Jan-27,,Capodanno,Capodanno|
6-Jan-27,,Epifania del Signore,"Epiph|any, Epif|ania, Befa|na"
10-Feb-27,,Mercoledì delle Ceneri,Mercoledì delle Ce|neri
19-Mar-27,,Festa del papà,Festa del pa|pà
21-Mar-27,,Domenica delle Palme,Domenica delle Pal|me
25-Mar-27,,Giovedì Santo,Giovedì San|to
26-Mar-27,,Venerdì Santo,Venerdì San|to
28-Mar-27,,Domenica di Pasqua,Domenica di Pas|qua
29-Mar-27,,Lunedì di Pasqua,Lunedì di Pas|qua
25-Apr-27,,Giorno della Liberazione,Giorno della Lib|erazione
25-Apr-27,,Festa di San Marco,Festa di San Ma|rco
1-May-27,,Festa del Lavoro,"Festa del Lav|oro, Primo Maggio|"
9-May-27,,Festa della mamma,Festa della ma|mma
2-Jun-27,,Festa della Repubblica,Festa della Rep|ubblica
24-Jun-27,,Festa di San Giovanni,Festa di San Gi|ovanni
29-Jun-27,,Festa di San Pietro e San Paolo,Festa di San Pie|tro e San Paolo
15-Aug-27,,Assunzione di Maria,Assunzione di M|aria
15-Aug-27,,Ferragosto,Ferrago|sto
19-Sep-27,,Festa di San Gennaro,Festa di San Gen|naro
1-Nov-27,,Ognissanti,Ogniss|anti
7-Dec-27,,Festa di Sant'Ambrogio,Festa di Sant'Am|brogio
8-Dec-27,,Festa dell'Immacolata Concezione,Festa dell'Im|macolata Concezione
25-Dec-27,,Giorno di Natale,"Giorno di Nat|ale, Natale|"
26-Dec-27,,Giorno di Santo Stefano,"Giorno di Santo Ste|fano, Festa di Santo Ste|fano, Santo Ste|fano"
31-Dec-27,,Vigilia di Capodanno,Vigilia di Capodanno|
