date,end-date,holiday-name,keywords
1-Jan-27,,New Year's Day,New Year's| Day
18-Jan-27,,Martin Luther King Jr. Day,"Martin L|uther King Jr. Day, MLK| Jr. Day, MLK Day|"
2-Feb-27,,Groundhog Day,Groundh|og Day
14-Feb-27,,Valentine's Day,Valen|tine's Day
15-Feb-27,,Presidents' Day,"Presidents' D|ay, washington's b|irthday"
7-Feb-27,8-Mar-27,Ramadan,Ramad|an
6-Feb-27,,Lunar New Year,"Lunar N|ew Year, spring fe|stival, chinese ne|w year"
18-Feb-27,,Ash Wednesday,Ash We|dnesday
22-Mar-27,,Holi,Holi|
17-Mar-27,,St. Patrick's Day,St. Pa|trick's Day
1-Apr-27,,April Fool's Day,April Fo|ol's Day
21-Apr-27,29-Apr-27,Passover,Passo|ver
14-Apr-27,,Vaisakhi,Vaisa|khi
15-Apr-27,,Tax Filing Deadline,"Tax Fi|ling Deadline, income tax d|eadline, tax d|ay"
26-Mar-27,,Good Friday,Good Fri|day
28-Mar-27,,Easter Sunday,Easter| Sunday
29-Mar-27,,Easter Monday,Easter M|onday
5-May-27,,Cinco de Mayo,Cinco d|e Mayo
9-May-27,,Mother's Day,Mother's D|ay
31-May-27,,Memorial Day,Memorial D|ay
20-Jun-27,,Father's Day,Father's D|ay
14-Jun-27,,Flag Day,Flag Da|y
19-Jun-27,,Juneteenth,Junet|eenth
4-Jul-27,,Independence Day,Independence D|ay
6-Sep-27,,Labor Day,Labor D|ay
1-Oct-27,3-Oct-27,Rosh Hashanah,Rosh H|ashanah
10-Oct-27,11-Oct-27,Yom Kippur,Yom K|ippur
15-Oct-27,24-Oct-27,Sukkot,Sukk|ot
11-Oct-27,,Columbus Day,Columbus D|ay
29-Oct-27,,Diwali,Diwa|li
31-Oct-27,,Halloween,Hallow|een
11-Nov-27,,Veterans Day,Veterans D|ay
25-Nov-27,,Thanksgiving Day,Thanksg|iving Day
26-Nov-27,,Black Friday,Black Fr|iday
24-Dec-27,1-Jan-28,Hanukkah,"Hanuk|kah, chanuk|ah"
24-Dec-27,,Christmas Eve,Christmas E|ve
25-Dec-27,,Christmas Day,Christmas| Day
31-Dec-27,,New Year's Eve,"New Year's E|ve, nye|"
